Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel,InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,DESNZ site code,Unnamed: 17,Latitude,Longitude,GSPGroup
Anesco,Bilsthorpe,Solar,PV,No,Solar,, 	5.7 ,LV,England,East Midlands,NG228ST,,465147.0,361625.0,2014.0,SOL-000720,,53.14779221486952,-1.0273968692515691,_B
Anesco,Tope Farm,Solar,PV,No,Solar,, 	3.3 ,LV,England,South West,TQ97DR,,283048.0,52733.0,2014.0,SOL-000729,,50.3628476895839,-3.645633710277032,_L
Anesco,Horam Solar Park,Solar,PV,No,Solar,, 	2.6 ,LV,England,South East,TN210JN,,556616.0,115760.0,2014.0,SOL-000769,,50.92005020111872,0.2268146900523282,_J
Anesco,Pierces Farm,Solar,PV,No,Solar,, 	1.7 ,LV,England,South East,RG71LY,,468119.0,167296.0,2015.0,SOL-000775,,51.40061473328614,-1.0221734180633044,_H
Anesco,Culworth,Solar,PV,No,Solar,, 	3.6 ,LV,England,East Midlands,OX172HW,,454564.0,245985.0,2015.0,SOL-000776,,52.109509065498784,-1.204678131559515,_B
Anesco,Abergelli,Solar,PV,No,Solar,, 	7.7 ,LV,Wales,Wales,SA57NN,,265507.0,202009.0,2015.0,SOL-000779,,51.700661451386104,-3.947570919505661,_K
Anesco,Gedling,Solar,PV,No,Solar,, 	5.7 ,LV,England,East Midlands,NG44JX,,461655.0,344045.0,2015.0,SOL-000789,,52.99019967112548,-1.0829623869828804,_B
Anesco,Higher Bye,Solar,PV,No,Solar,, 	6.8 ,LV,England,South West,TA230JT,,305042.0,142360.0,2015.0,SOL-000823,,51.17256799100351,-3.359676572071596,_L
Anesco,Trickey Warren,Solar,PV,No,Solar,, 	4.6 ,LV,England,South West,TA37DY,,320109.0,114779.0,2015.0,SOL-000828,,50.92691109114514,-3.1381101198070467,_L
Anesco,Cotgrave,Solar,PV,No,Solar,, 	5.0 ,LV,England,East Midlands,NG123GU,,463974.0,336042.0,2015.0,SOL-000863,,52.91799738317807,-1.049998143210384,_B
